PPG GREEN,time
2214720.0,1637402059.23
2214739.0,1637402059.27
2213658.0,1637402059.311
2213680.0,1637402059.352
2212626.0,1637402059.392
2211171.0,1637402059.433
2210755.0,1637402059.472
2210806.0,1637402059.512
2210860.0,1637402059.554
2211176.0,1637402059.592
2211692.0,1637402059.632
2212386.0,1637402059.673
2212908.0,1637402059.712
2213115.0,1637402059.754
2214033.0,1637402059.794
2214137.0,1637402059.833
2213345.0,1637402059.873
2212867.0,1637402059.914
2212453.0,1637402059.954
2210127.0,1637402059.993
2207587.0,1637402060.034
2204182.0,1637402060.073
2201031.0,1637402060.113
2198726.0,1637402060.155
2197254.0,1637402060.193
2195946.0,1637402060.233
2194627.0,1637402060.274
2193780.0,1637402060.313
2192487.0,1637402060.354
2191719.0,1637402060.395
2191483.0,1637402060.432
2191212.0,1637402060.472
2190887.0,1637402060.514
2191560.0,1637402060.554
2191660.0,1637402060.593
2192155.0,1637402060.634
2192593.0,1637402060.674
2194145.0,1637402060.713
2196636.0,1637402060.752
2199594.0,1637402060.791
2203582.0,1637402060.83
2209242.0,1637402060.869
2217180.0,1637402060.908
2228013.0,1637402060.947
2234799.0,1637402060.986
2235664.0,1637402061.025
2231996.0,1637402061.064
2230744.0,1637402061.103
2234661.0,1637402061.142
2243219.0,1637402061.181
2246721.0,1637402061.22
2239350.0,1637402061.298
2245163.0,1637402061.259
2233917.0,1637402061.337
2229517.0,1637402061.376
2226159.0,1637402061.415
2222556.0,1637402061.454
2219910.0,1637402061.493
2218747.0,1637402061.532
2217334.0,1637402061.571
2215926.0,1637402061.61
2214421.0,1637402061.649
2213074.0,1637402061.688
2211556.0,1637402061.727
2209521.0,1637402061.766
2207584.0,1637402061.805
2205939.0,1637402061.844
2202748.0,1637402061.883
2198210.0,1637402061.922
2193963.0,1637402061.961
2190446.0,1637402062.0
2186915.0,1637402062.039
2181669.0,1637402062.117
2179369.0,1637402062.156
2177066.0,1637402062.195
2175006.0,1637402062.234
2173060.0,1637402062.273
2171048.0,1637402062.312
2183956.0,1637402062.078
2169612.0,1637402062.351
2168303.0,1637402062.39
2166677.0,1637402062.429
2165770.0,1637402062.468
2165044.0,1637402062.507
2164319.0,1637402062.546
2163875.0,1637402062.585
2163156.0,1637402062.663
2163359.0,1637402062.702
2163671.0,1637402062.741
2164781.0,1637402062.78
2168881.0,1637402062.819
2171881.0,1637402062.858
2177704.0,1637402062.897
2192760.0,1637402062.936
2205600.0,1637402062.975
2217513.0,1637402063.014
2226555.0,1637402063.053
2236365.0,1637402063.092
2243232.0,1637402063.131
2244447.0,1637402063.17
2247441.0,1637402063.209
2253795.0,1637402063.248
2253989.0,1637402063.404
2249526.0,1637402063.443
2246138.0,1637402063.482
2243614.0,1637402063.521
2240908.0,1637402063.56
2238401.0,1637402063.599
2236194.0,1637402063.638
2233898.0,1637402063.677
2231566.0,1637402063.716
2228868.0,1637402063.755
2224984.0,1637402063.794
2219474.0,1637402063.833
2214456.0,1637402063.872
2256530.0,1637402063.365
2256831.0,1637402063.326
2255847.0,1637402063.287
2209750.0,1637402063.911
2204919.0,1637402063.95
2200410.0,1637402063.989
2163336.0,1637402062.624
2192316.0,1637402064.067
2196604.0,1637402064.028
2185796.0,1637402064.145
2188815.0,1637402064.106
2180573.0,1637402064.223
2183018.0,1637402064.184
2178151.0,1637402064.262
2176566.0,1637402064.301
2175186.0,1637402064.34
2173548.0,1637402064.379
2172478.0,1637402064.418
2171560.0,1637402064.457
2170503.0,1637402064.496
2169683.0,1637402064.535
2168866.0,1637402064.574
2168483.0,1637402064.613
2168040.0,1637402064.652
2167983.0,1637402064.691
2167720.0,1637402064.73
2166643.0,1637402064.769
2163996.0,1637402064.808
2163206.0,1637402064.847
2166214.0,1637402064.886
2167858.0,1637402064.925
2173521.0,1637402064.964
2180429.0,1637402065.003
2184537.0,1637402065.042
2187910.0,1637402065.081
2190860.0,1637402065.12
2194699.0,1637402065.159
2198845.0,1637402065.198
2201903.0,1637402065.237
2206130.0,1637402065.276
2206968.0,1637402065.315
2205744.0,1637402065.354
2206160.0,1637402065.393
2205752.0,1637402065.432
2203999.0,1637402065.471
2201827.0,1637402065.51
2200313.0,1637402065.549
2200313.0,1637402065.588
2197139.0,1637402065.627
2200725.0,1637402065.666
2210323.0,1637402065.705
2212742.0,1637402065.744
2212290.0,1637402065.783
2211541.0,1637402065.822
2209258.0,1637402065.861
2207768.0,1637402065.901
2206830.0,1637402065.941
2203312.0,1637402066.021
2199922.0,1637402066.101
2201075.0,1637402066.061
2206243.0,1637402065.981
2197672.0,1637402066.181
